fonel,japanese,english
"Quand moi avoir six an","私　持つ　6年　のとき","When I have six years"
"moi voir une fois une image magnifique","私　見る　一度　すばらしい絵","I see once a magnificent image"
"dans un livre qui parler de la Forêt Vierge","本の中　それ　語る　原始林について","in a book that speaks about the Virgin Forest"
"et qui avoir pour nom « Histoires vécues »","そして　それ　持つ　名前　「本当の話」","and that has for name “Lived Stories”"
"Cela représenter un serpent boa qui avaler un fauve","それ　描く　ボアヘビ　それ　呑みこむ　野獣","That shows a boa snake that swallows a wild beast"
"Voilà la copie du dessin","これ　写し　その絵","Here is the copy of the drawing"
"Le dessin représenter un serpent boa qui digérer un fauve","その絵　描く　ボアヘビ　それ　消化する　野獣","The drawing shows a boa snake that digests a wild beast"
"On dire dans le livre :","人々　言う　本の中で","One says in the book:"
"« Les serpents boas avaler leur proie tout entière sans mâcher","ボアヘビたち　呑みこむ　彼らの獲物　まるごと　噛まずに","The boa snakes swallow their prey whole without chewing"
"Ensuite, ils ne pouvoir plus bouger","その後　彼ら　できない　もう　動く","Then they can no longer move"
"et ils dormir pendant les six mois de leur digestion. »","そして　彼ら　眠る　6ヶ月　彼らの消化のあいだ","and they sleep during the six months of their digestion.”
"Moi réfléchir beaucoup sur les aventures de la jungle","私　考える　たくさん　ジャングルの冒険について","I think a lot about the adventures of the jungle"
"Et, à mon tour, moi réussir avec un crayon de couleur tracer mon premier dessin","そして　自分の番で　私　成功する　色鉛筆で　描く　私の最初の絵","And, in my turn, I succeed with a colored pencil to draw my first drawing"
"Mon dessin numéro un","私の絵　番号1","My drawing number one"
"Il être comme cela :","それ　こうである","It is like that:"
"Moi montrer mon chef-d’œuvre aux grandes personnes","私　見せる　私の傑作　大人たちに","I show my masterpiece to the grown-ups"
"et moi demander à eux si mon dessin faire peur à eux","そして　私　たずねる　彼らに　私の絵　怖がらせる　彼らを","and I ask them if my drawing makes fear to them"
"Eux répondre à moi :","彼ら　答える　私に","They answer me:"
"« Pourquoi un chapeau faire peur ? »","「なぜ　帽子　怖がらせる？」","“Why does a hat make fear?”"
"Mon dessin ne représenter pas un chapeau","私の絵　描かない　帽子を","My drawing does not show a hat"
"Il représenter un serpent boa qui digérer un éléphant","それ　描く　ボアヘビ　それ　消化する　ゾウ","It shows a boa snake that digests an elephant"
"Moi dessiner alors l’intérieur du serpent boa","私　描く　そのとき　ボアヘビの中身","I draw then the inside of the boa snake"
"afin que les grandes personnes pouvoir comprendre","～のために　大人たち　できる　理解する","so that the grown-ups can understand"
"Eux avoir toujours besoin de explication","彼ら　持つ　いつも　必要　説明の","They always have need of explanation"
"Mon dessin numéro deux être comme cela :","私の絵　番号2　こうである","My drawing number two is like that"
"Les grandes personnes conseiller à moi","大人たち　助言する　私に","The grown-ups advise to me"
"laisser de côté les dessins de serpents boas ouverts ou fermés","脇に置く　絵たち　ボアヘビの　開いた　または　閉じた","to set aside the drawings of boa snakes open or closed"
"et m’intéresser plutôt à la géographie, à l’histoire, au calcul et à la grammaire","そして　私が興味もつ　むしろ　地理に　歴史に　計算に　文法に","and to interest myself rather in geography, history, arithmetic, and grammar"
"C’est ainsi que moi abandonner","それ　このように　私　あきらめる","It is thus that I give up"
"à l’âge de six an une carrière magnifique de peintre","6歳のときに　すばらしい　画家の経歴を","at the age of six a magnificent career of painter"
"Moi être découragé par l’insuccès de mon dessin numéro un","私　落胆させられる　失敗により　私の絵　1番の","I be discouraged by the failure of my drawing number one"
"et de mon dessin numéro deux","そして　私の絵　2番の","and of my drawing number two"
"Les grandes personnes ne comprendre jamais rien toutes seules","大人たち　理解しない　決して　何も　自分だけでは","The grown-ups never understand anything on their own"
"et c’est fatigant pour les enfants de toujours leur donner des explications","そして　それ　疲れる　子どもたちにとって　いつも　彼らに　説明を与えるのは","and it is tiring for children to always give them explanations"
